Representation,Fitness,Best fitness,Generation,Last improved geneneration,Xo prob,Mut prob,Selection,Crossover,Mutation,Generations,Elitism,Tolerance
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,12,0,0.99,0.05,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,13,0,0.99,0.05,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,14,0,0.99,0.05,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,15,0,0.99,0.05,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,16,0,0.99,0.05,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,17,0,0.99,0.05,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,18,0,0.99,0.05,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,19,0,0.99,0.05,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,20,0,0.099,0.05500000000000001,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,21,0,0.0099,0.06050000000000001,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,22,0,0.0009900000000000002,0.06655000000000001,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,23,0,9.900000000000002e-05,0.07320500000000002,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,24,0,9.900000000000003e-06,0.08052550000000003,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,25,0,9.900000000000005e-07,0.08857805000000003,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,26,0,9.900000000000005e-08,0.09743585500000004,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,27,0,9.900000000000006e-09,0.10717944050000006,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,28,0,9.900000000000007e-10,0.11789738455000007,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,29,0,9.900000000000007e-11,0.12968712300500007,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,30,0,9.900000000000007e-12,0.14265583530550008,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,31,0,9.900000000000008e-13,0.1569214188360501,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,32,0,9.900000000000008e-14,0.1726135607196551,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,33,0,9.900000000000009e-15,0.18987491679162063,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,34,0,9.900000000000009e-16,0.20886240847078272,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,35,0,9.900000000000009e-17,0.22974864931786101,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,36,0,9.90000000000001e-18,0.2527235142496471,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,37,0,9.90000000000001e-19,0.2779958656746119,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,38,0,9.900000000000011e-20,0.3057954522420731,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,39,0,9.900000000000011e-21,0.33637499746628047,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,40,0,9.900000000000012e-22,0.3700124972129085,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,41,0,9.900000000000012e-23,0.4070137469341994,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,42,0,9.900000000000012e-24,0.4477151216276194,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,43,0,9.900000000000012e-25,0.4924866337903814,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,44,0,9.900000000000013e-26,0.5417352971694196,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,45,0,9.900000000000014e-27,0.5959088268863616,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,46,0,9.900000000000014e-28,0.6554997095749978,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,47,0,9.900000000000015e-29,0.7210496805324976,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,48,0,9.900000000000015e-30,0.7931546485857475,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,49,0,9.900000000000016e-31,0.8724701134443222,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
